ty_code,ty_name_en,ty_name_ch,land_address,land_time,land_lng,land_lat,land_info,land_strong
201816,BEBINCA,贝碧嘉,广东省雷州市沿海,2018-08-15 21:40:00,110.3,20.7,“贝碧嘉”于8月15日21时40分前后在广东雷州沿海登陆,强热带风暴
201818,RUMBIA,温比亚,上海浦东新区南部沿海,2018-08-17 04:05:00,121.74,30.85,“温比亚”于8月17日凌晨04时05分前后在上海浦东新区南部沿海登陆,强热带风暴
201819,SOULIK,苏力,韩国全罗南道境内,2018-08-23 20:00:00,126.4,35.0,台风“苏力”于8月23日20时前后在韩国全罗南道境内登陆,台风
201820,CIMARON,西马仑,日本四国岛,2018-08-23 00:00:00,134.6,33.8,台风“西马仑”于8月23日在日本四国岛境内登陆,强台风
201821,JEBI,飞燕,日本四国岛德岛县境内,2018-09-04 12:00:00,134.5,33.7,台风“飞燕”于9月4日12时前后在日本四国岛德岛县境内登陆,强台风
201822,MANGKHUT,山竹,广东江门沿海,2018-09-16 17:00:00,112.5,21.9,台风“山竹”于9月16日17时前后在广东江门沿海登陆,强台风
201823,BARIJAT,百里嘉,广东湛江沿海,2018-09-13 08:30:00,110.65,21.25,台风“百里嘉”于9月13日8时30前后在广东湛江沿海登陆,强热带风暴
201904,MUN,木恩,海南省万宁市和乐镇沿海,2019-07-03 00:45:00,110.51,18.9,"台风""木恩""在海南省万宁市和乐镇沿海登陆",热带风暴
201907,WIPHA,韦帕,海南省文昌市沿海,2019-08-01 01:50:00,110.97,19.9,"台风""韦帕""在海南省文昌市沿海登陆登陆",热带风暴
201907,WIPHA,韦帕,广东省湛江市坡头区沿海,2019-08-01 17:40:00,110.61,21.18,"台风""韦帕""在广东省湛江市坡头区沿海再次登陆",热带风暴
201907,WIPHA,韦帕,广西省防城港,2019-08-02 21:20:00,108.27,21.53,"台风""韦帕""在广西省防城港再次登陆",热带风暴
201909,LEKIMA,利奇马,台州温岭城南镇,2019-08-10 01:45:00,121.42,28.3,"台风""利奇马""于8月10日01时45分前后在台州温岭城南镇沿海登陆",超强台风
201909,LEKIMA,利奇马,山东省青岛市,2019-08-11 20:50:00,120.16,35.92,"台风""利奇马""于8月11日20时50分前后在山东省青岛市黄岛区沿海再次登陆",热带风暴
201911,BAILU,白鹿,台湾省屏东县满州乡沿海,2019-08-24 13:00:00,120.9,22.0,台风“白鹿”于24日13时前后登陆台湾省屏东县满州乡沿海,强热带风暴
201911,BAILU,白鹿,福建东山沿海,2019-08-25 07:25:00,117.4,23.6,台风“白鹿”已于25日7时25分在福建东山沿海再次登陆,强热带风暴
201918,MITAG,米娜,浙江舟山普陀沈家门,2019-10-01 20:30:00,122.31,29.93,台风“米娜”于10月1日20时30分前后在浙江省舟山普陀区沈家门登陆,强热带风暴
201918,MITAG,米娜,韩国全罗南道沿海,2019-10-02 20:10:00,126.1,34.4,台风“米娜”于10月2日20点10分左右在韩国全罗南道沿海再次登陆,热带风暴
201919,HAGIBIS,海贝思,日本伊豆半岛沿海,2019-10-12 18:00:00,138.77,34.77,台风“海贝思”于10月12日18时日本伊豆半岛沿海登陆,强台风
201924,NAKRI,娜基莉,越南庆和省登陆,2019-11-11 00:00:00,109.36,12.8,台风“娜基莉”于11月11日00时越南庆和省登陆,强热带风暴
202002,NURI,鹦鹉,广东省阳江市海陵岛沿海,2020-06-14 08:50:00,111.9,21.6,台风“鹦鹉”于6月14日8时50分前后在广东省阳江市海陵岛沿海登陆,热带风暴
202003,SINLAKU,森拉克,越南清化附近沿海,2020-08-02 14:40:00,105.86,19.7,台风“森拉克”于8月2日14时40分前后在越南清化附近沿海登陆,热带风暴
202004,HAGUPIT,黑格比,浙江乐清沿海,2020-08-04 03:30:00,120.99,28.0,台风“黑格比”于8月4日3时30分前后在浙江乐清沿海登陆,台风
202006,MEKKHALA,米克拉,福建省漳浦县沿海,2020-08-11 07:30:00,117.84,24.02,台风“米克拉”于8月11日7点30分前后在福建省漳浦县沿海登陆,台风
202007,HIGOS,海高斯,广东省珠海市金湾区沿海,2020-08-19 06:00:00,113.39,22.01,台风“海高斯”于8月19日06时前后在广东省珠海市金湾区沿海登陆,台风
202008,BAVI,巴威,朝鲜平安北道,2020-08-27 08:30:00,124.7,39.7,台风“巴威”于8月27日8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆,台风
